lotplan,date,harvested_tonnes,min_N,max_N,leaf_water_content,sugar_made,dollar_made
106CI761,2016-12-22,0,125.4296578,140.4296578,0.649507747,0,0
106CI761,2017-01-01,0,107.6388889,122.6388889,0.663919322,0,0
106CI761,2017-01-11,87.93,100.4240631,115.4240631,0.663868345,13.3227272727273,1934.46
106CI761,2017-02-10,0,103.8624737,118.8624737,0.624863793,0,0
106CI761,2017-02-20,479.707,103.7552966,118.7552966,0.668012374,72.6828787878788,10553.554
106CI761,2017-03-02,105.516,134.7962555,149.7962555,0.567628637,15.9872727272727,2321.352
106CI761,2017-03-12,0,99.90214352,114.9021435,0.668441439,0,0
106CI761,2017-04-01,0,104.1249289,119.1249289,0.711490993,0,0
106CI761,2017-04-11,22.471,106.4265254,121.4265254,0.674289908,3.40469696969697,494.362
106CI761,2017-05-01,2134.745,135,150,0.421922743,323.446212121212,46964.39
106CI761,2017-05-11,0,94.03175503,109.031755,0.723977874,0,0
106CI761,2017-05-21,71.321,99.67573827,114.6757383,0.650878062,10.8062121212121,1569.062
106CI761,2017-05-31,0,94.11590525,109.1159052,0.677012078,0,0
106CI761,2017-06-20,62.528,99.76593912,114.7659391,0.749212697,9.47393939393939,1375.616
106CI761,2017-07-10,30.287,123.6815416,138.6815416,0.658810956,4.58893939393939,666.314
106CI761,2017-07-20,212.009,107.458256,122.458256,0.711768088,32.1225757575758,4664.198
106CI761,2017-07-30,73.275,132.1509972,147.1509972,0.650778634,11.1022727272727,1612.05
106CI761,2017-08-09,1234.928,123.2612137,138.2612137,0.609627986,187.110303030303,27168.416
106CI761,2017-08-19,1223.204,125.8786936,140.8786936,0.680938101,185.333939393939,26910.488
106CI761,2017-09-08,468.96,134.6319018,149.6319018,0.636460771,71.0545454545455,10317.12
106CI761,2017-09-18,0,135,150,0.727045649,0,0
106CI761,2017-09-28,1289.64,,,,195.4,28372.08
106CI761,2017-10-08,0,135,150,0.575554791,0,0
106CI761,2017-10-28,8.793,,,,1.33227272727273,193.446
106CI761,2017-11-07,0,109.2857143,124.2857143,0.617116768,0,0
106CI761,2017-11-17,0,135,150,0.831710249,0,0
106CI761,2017-11-27,508.04,135,150,0.584442165,76.9757575757576,11176.88
106CI761,2017-12-07,1280.847,100.0244698,115.0244698,0.623602197,194.067727272727,28178.634
106CI761,2017-12-17,568.614,130.9307876,145.9307876,0.6275462,86.1536363636364,12509.508
106CI761,2017-12-27,0,108.346875,123.346875,0.628562322,0,0
106CI761,2018-01-06,1294.525,135,150,0.607406266,196.140151515152,28479.55
106CI761,2018-01-26,0,135,150,0.691985527,0,0
106CI761,2018-02-15,2801.059,134.8879203,149.8879203,0.645182048,424.402878787879,61623.298
106CI761,2018-03-17,0,100.0859917,115.0859917,0.668646429,0,0
106CI761,2018-04-16,1439.121,133.6491557,148.6491557,0.718590721,218.048636363636,31660.662
106CI761,2018-04-26,0,96.76470588,111.7647059,0.679268345,0,0
106CI761,2018-05-06,894.932,134.9020593,149.9020593,0.732860938,135.595757575758,19688.504
106CI761,2018-05-26,0,121.4907153,136.4907153,0.654730377,0,0
106CI761,2018-06-05,79.137,107.9607358,122.9607358,0.623454704,11.9904545454545,1741.014
106CI761,2018-06-15,318.502,124.1023591,139.1023591,0.638835804,48.2578787878788,7007.044
106CI761,2018-06-25,0,125.8409181,140.8409181,0.617016136,0,0
106CI761,2018-07-05,70.344,131.5967413,146.5967413,0.667817092,10.6581818181818,1547.568
106CI761,2018-07-15,601.832,124.9184339,139.9184339,0.610304469,91.1866666666667,13240.304
106CI761,2018-07-25,1005.333,130.3333333,145.3333333,0.648369143,152.323181818182,22117.326
106CI761,2018-08-04,194.423,134.091653,149.091653,0.608219237,29.4580303030303,4277.306
106CI761,2018-08-14,330.226,135,150,0.669578083,50.0342424242424,7264.972
106CI761,2018-08-24,134.826,135,150,0.652308086,20.4281818181818,2966.172
